Symbol,Score,Loss,Under
SGX:41T,0.57,58.0%,O
SGX:595,3.27,47.3%,O
SGX:I11,1.58,49.5%,U
SGX:I06,2.49,53.4%,O
SGX:5EF,0.76,58.0%,O
SGX:5TN,0.70,58.0%,O
SGX:PRH,3.46,50.7%,O
SGX:Q01,4.72,49.4%,O
SGX:1F1,2.34,53.4%,O
SGX:I49,4.57,49.4%,O
SGX:H20,1.29,57.1%,O
SGX:GIH,3.00,46.2%,U
SGX:EHG,4.46,49.4%,O
SGX:1Y1,1.78,57.1%,O
SGX:5OC,2.22,53.4%,O
SGX:B61,2.71,48.8%,O
SGX:QS9,2.44,48.8%,O
SGX:596,0.70,58.0%,O
SGX:H18,4.19,49.4%,O
SGX:5RA,2.06,53.4%,O
SGX:K29,4.13,49.4%,O
SGX:S9B,0.44,58.0%,O
SGX:BTE,3.92,50.7%,O
SGX:M14,3.24,50.7%,O
SGX:5CF,0.48,58.0%,O
SGX:R14,2.96,53.4%,O
SGX:40N,3.84,50.7%,O
SGX:5OR,1.91,57.1%,O
SGX:42D,0.83,58.0%,O
SGX:5DO,2.50,53.4%,O
SGX:5IG,1.85,57.1%,O
SGX:S58,3.66,50.7%,O
SGX:A34,3.61,50.7%,O
SGX:E27,0.71,58.0%,O
SGX:NR7,3.48,50.7%,O
SGX:5LE,2.28,53.4%,O
SGX:S3N,1.07,49.5%,U
SGX:BQP,3.33,50.7%,O
SGX:S85,3.21,50.7%,O
SGX:U13,3.16,50.7%,O
SGX:AOF,1.56,57.1%,O
SGX:G41,2.99,53.4%,O
SGX:PH0,0.50,58.0%,O
SGX:D01,2.96,53.4%,O
SGX:F83,2.95,53.4%,O
SGX:1D4,2.95,53.4%,O
SGX:546,2.95,53.4%,O
SGX:541,2.79,53.4%,O
SGX:C06,2.76,53.4%,O
SGX:583,2.75,53.4%,O
SGX:5I4,2.73,53.4%,O
SGX:V8Y,0.68,58.0%,O
SGX:41H,2.71,53.4%,O
SGX:BLZ,2.69,53.4%,O
SGX:505,2.67,53.4%,O
SGX:49B,2.60,53.4%,O
SGX:T55,2.59,53.4%,O
SGX:BFK,2.57,53.4%,O
SGX:RQ1,2.56,53.4%,O
SGX:S71,2.56,53.4%,O
SGX:L19,2.55,53.4%,O
SGX:AWI,2.13,53.4%,O
SGX:5QY,2.49,53.4%,O
SGX:554,2.41,53.4%,O
SGX:CYW,2.38,53.4%,O
SGX:BAZ,2.32,53.4%,O
SGX:C33,2.30,53.4%,O
SGX:ENV,2.78,48.8%,O
SGX:5DX,2.24,53.4%,O
SGX:5G9,2.24,53.4%,O
SGX:8YY,1.09,57.1%,O
SGX:1B6,1.44,57.1%,O
SGX:5IC,2.09,53.4%,O
SGX:YYB,2.00,57.1%,O
SGX:40V,1.97,57.1%,O
SGX:5HV,0.92,58.0%,O
SGX:1F3,1.78,57.1%,O
SGX:CTO,1.77,57.1%,O
SGX:V2Y,1.55,57.1%,O
SGX:KUX,1.48,57.1%,O
SGX:579,1.38,57.1%,O
SGX:XJB,1.37,57.1%,O
SGX:NHD,1.30,57.1%,O
SGX:S7P,1.30,57.1%,O
SGX:YF8,1.99,57.1%,O
SGX:5WF,1.28,57.1%,O
SGX:5AB,1.27,57.1%,O
SGX:M15,1.27,57.1%,O
SGX:584,0.62,58.0%,O
SGX:C76,1.22,57.1%,O
SGX:A78,1.17,57.1%,O
SGX:BEH,1.11,57.1%,O
SGX:5VI,1.01,57.1%,O
SGX:YYN,0.97,58.0%,O
SGX:5HG,0.96,58.0%,O
SGX:BFI,0.95,58.0%,O
SGX:LS9,0.91,58.0%,O
SGX:AWG,0.90,58.0%,O
SGX:40E,0.84,58.0%,O
SGX:A33,0.84,58.0%,O
SGX:F1E,0.25,58.0%,O
SGX:AZA,0.73,58.0%,O
SGX:GU5,0.40,58.0%,O
SGX:V3M,0.26,58.0%,O
SGX:BCD,0.13,58.0%,O
SGX:S51,0.01,58.0%,O
