Symbol,Score,Loss,Under
NYSE:MP,5.40,44.6%,U
NYSE:EPAM,6.58,43.1%,O
NASDAQ:HBNC,7.20,42.4%,U
NASDAQ:CENT,5.28,43.1%,U
NASDAQ:ORLY,6.43,43.7%,U
NASDAQ:HQI,5.44,44.6%,U
NASDAQ:PRPH,3.59,44.5%,U
NYSE:CLW,3.59,44.5%,U
NYSE:DEN,4.38,43.7%,U
NYSE:KRP,5.85,44.9%,O
NASDAQ:FXNC,6.65,43.1%,O
NYSE:LOW,6.57,42.0%,U
NASDAQ:HIBB,5.63,43.1%,U
NYSE:ELV,7.37,43.1%,O
NYSE:PXD,6.40,43.2%,O
NASDAQ:CSWI,6.32,43.1%,O
NYSE:VIPS,5.92,44.1%,U
NASDAQ:TMUS,5.57,43.1%,U
NYSE:ASB,6.00,43.1%,U
NYSE:OFG,5.99,43.1%,U
NYSE:YPF,3.70,44.5%,U
NASDAQ:SFM,5.18,43.1%,U
NYSE:BDC,4.85,45.2%,U
NASDAQ:UCTT,5.51,43.1%,U
NASDAQ:PKBK,7.55,42.4%,U
NYSE:TGNA,4.28,43.7%,U
NYSE:AMPY,3.49,44.5%,U
NYSE:NTB,6.23,43.1%,O
NYSE:GLOP,4.25,43.7%,U
NYSE:WLKP,5.46,43.1%,U
NYSE:AX,6.91,42.0%,U
NYSE:TRTN,6.91,42.0%,U
NASDAQ:CPIX,3.89,45.8%,U
NASDAQ:TASK,4.46,43.7%,U
NASDAQ:HYW,5.05,43.1%,U
NYSE:BWA,5.47,44.7%,O
NYSE:BAH,7.05,42.7%,U
NYSE:DQ,5.40,43.1%,U
NASDAQ:PNBK,4.88,46.0%,U
NYSE:CHMI,3.42,44.5%,U
NYSE:WAB,6.17,43.0%,U
NYSE:CNO,5.77,43.1%,U
NASDAQ:SPFI,6.24,42.0%,U
NYSE:KFS,4.15,43.7%,U
NASDAQ:XP,4.98,43.7%,U
NASDAQ:LYTS,5.84,44.7%,O
NYSE:SIRE,5.29,44.7%,O
NYSE:DTM,4.39,43.7%,U
NYSE:AON,7.29,43.1%,O
NYSE:PHX,5.04,44.7%,O
NYSE:BALY,3.70,44.5%,U
NASDAQ:CTRM,4.12,43.7%,U
NYSE:RFP,4.93,43.7%,U
NASDAQ:SFNC,6.27,43.3%,U
NYSE:MPLX,6.46,43.2%,O
NASDAQ:VEON,4.35,43.7%,U
NASDAQ:OBT,6.18,43.1%,O
NASDAQ:MSFT,8.30,44.7%,O
NYSE:GHC,6.25,43.1%,O
NASDAQ:FMNB,7.35,42.4%,U
NASDAQ:EXPI,6.67,42.0%,U
NYSE:GPN,6.11,42.0%,U
NASDAQ:ACLS,6.06,43.1%,O
NASDAQ:BMBL,4.31,43.7%,U
NASDAQ:DLHC,6.11,42.0%,U
NASDAQ:IIIV,5.01,44.1%,U
NYSE:MRC,3.33,44.5%,U
NYSE:NOMD,4.57,43.7%,U
NASDAQ:ANDE,4.06,45.2%,U
NYSE:PWR,6.00,42.8%,U
NYSE:SITE,6.18,43.3%,U
NYSE:LPG,3.32,44.5%,U
NYSE:SXC,5.20,43.1%,U
NYSE:ENVA,5.60,43.1%,U
NYSE:SSL,4.55,43.7%,U
NASDAQ:BECN,4.59,46.0%,U
NYSE:BSMX,5.41,44.7%,O
NYSE:XOM,6.12,43.2%,O
NYSE:POST,4.80,46.0%,U
NYSE:HOV,4.52,43.7%,U
NASDAQ:SYNH,5.71,44.1%,U
NASDAQ:PAGP,4.02,43.7%,U
NYSE:AES,4.82,43.7%,U
NYSE:R,6.06,43.1%,O
NASDAQ:HONE,5.55,43.1%,U
NASDAQ:PCRX,6.01,42.0%,U
NYSE:BTU,3.28,44.5%,U
NASDAQ:ATSG,5.15,43.1%,U
NASDAQ:AMGN,5.54,43.1%,U
NYSE:FND,5.38,44.6%,U
NYSE:BABA,5.13,43.1%,U
NASDAQ:ASRT,3.58,44.5%,U
NYSE:LCII,6.51,42.0%,U
NASDAQ:AMZN,5.50,43.1%,U
NYSE:WMB,4.76,43.7%,U
NASDAQ:RAVE,5.59,44.9%,O
NYSE:GTLS,4.68,45.8%,O
NASDAQ:JAKK,4.46,43.7%,U
NYSE:AYI,6.20,43.0%,U
